N,P,K,temperature,humidity,ph,rainfall,label
18.0,125.0,203.0,22.44307715,91.59234006,6.1602675,102.5565807,apple
2.0,140.0,197.0,22.69780133,92.82223419,5.53456749,105.0508234,apple
2.0,143.0,196.0,22.71271308,90.45261746,5.66948906,109.8852597,apple
20.0,139.0,202.0,23.50201428,92.21083961,5.66999105,107.9868949,apple
40.0,136.0,202.0,22.85267372,94.5764581,5.93533631,117.5314026,apple
21.0,135.0,198.0,23.86087054,94.92048112,5.76501513,105.0241329,apple
3.0,141.0,197.0,21.98141856,91.12719303,6.1428034,115.4789148,apple
13.0,121.0,196.0,22.20700989,93.50574163,6.44338291,120.1593771,apple
26.0,121.0,201.0,22.19109412,90.02575116,6.16203437,112.3126628,apple
29.0,140.0,195.0,23.64082979,90.95257927,5.56052106,116.7431319,apple
27.0,120.0,200.0,21.45278675,90.74531921,6.11021883,116.7036582,apple
12.0,129.0,205.0,22.36238282,91.15761594,6.11943222,118.6832725,apple
5.0,144.0,205.0,21.42177231,92.62665309,6.18492257,102.8045658,apple
29.0,121.0,196.0,22.84852833,94.32130209,6.0794972,123.5977843,apple
17.0,136.0,196.0,23.87192332,90.49939035,5.88215599,103.0548094,apple
20.0,129.0,201.0,23.41044706,91.69913296,5.58790597,116.0777931,apple
38.0,135.0,203.0,23.76121837,93.661643,5.96555131,100.825956,apple
7.0,141.0,195.0,23.8812458,93.45067555,5.51425314,104.9116663,apple
34.0,140.0,198.0,21.70416965,93.44006288,5.75170734,115.1781396,apple
27.0,138.0,201.0,23.66682067,93.90191078,5.95236766,105.4004751,apple
0.0,145.0,205.0,21.22503442,90.09877774,5.52078314,113.9760462,apple
16.0,143.0,197.0,22.61711614,93.51978375,5.90402645,116.9256766,apple
16.0,143.0,204.0,23.71475278,91.53331177,5.63133339,121.8961665,apple
36.0,144.0,196.0,23.65167552,94.50528753,6.49693449,115.3611268,apple
35.0,138.0,200.0,21.19909519,90.80819418,5.67130617,103.6838922,apple
37.0,126.0,196.0,23.59997268,90.97597665,5.59644949,107.1728191,apple
18.0,125.0,204.0,22.35548159,94.47811755,6.04667362,116.7366261,apple
24.0,142.0,202.0,22.53779727,91.48135786,5.71081986,101.8474768,apple
30.0,143.0,199.0,23.76881552,90.59810302,5.7983508,102.2648546,apple
9.0,143.0,197.0,23.75033085,92.88160462,5.57002068,117.6602827,apple
32.0,137.0,204.0,22.86006627,93.12859895,5.82415169,117.7296726,apple
30.0,122.0,197.0,21.37784654,92.72043743,5.57324139,106.1417017,apple
10.0,141.0,201.0,22.12659387,90.97818277,6.38602142,104.5412275,apple
30.0,127.0,204.0,22.50050273,92.45878335,6.12643658,100.9343903,apple
19.0,122.0,202.0,23.34467359,90.37981478,5.81197509,112.8954016,apple
22.0,144.0,196.0,21.91191314,91.68748063,6.49922682,117.0761277,apple
32.0,141.0,203.0,21.25941052,92.84416234,5.82134777,109.0658471,apple
28.0,136.0,200.0,23.06204373,92.39544055,6.2458589,114.7399101,apple
25.0,143.0,198.0,22.81212536,91.51861705,6.0273144,107.855225,apple
28.0,123.0,198.0,23.46260321,91.45665004,5.68275147,111.7763395,apple
31.0,137.0,196.0,22.14464104,93.82567435,6.40032121,120.6310784,apple
35.0,145.0,195.0,22.03911546,94.58075845,6.23195001,110.9804014,apple
6.0,124.0,200.0,22.98208095,93.84505029,5.97133218,109.5852253,apple
31.0,121.0,201.0,23.15791104,90.34396882,5.73153526,110.712841,apple
